year,country.eci,ECI,eci.plus,continent,iso_3c
1966,Albania,0.001056,-0.106134,eu,ALB
1966,Austria,1.99344,1.69556,eu,AUT
1966,Belgium,1.58396,1.59227,eu,BEL
1966,Bulgaria,0.741352,0.626735,eu,BGR
1966,Switzerland,2.12901,1.83001,eu,CHE
1966,Germany,2.26339,1.91272,eu,DEU
1966,Denmark,1.31681,1.30886,eu,DNK
1966,Spain,0.603584,0.77248000000000006,eu,ESP
1966,Finland,1.4211,1.25054,eu,FIN
1966,France,1.73585,1.57366,eu,FRA
1966,United Kingdom,1.98672,1.75744,eu,GBR
1966,Greece,0.232929,0.325049,eu,GRC
1966,Hungary,1.23699,1.20265,eu,HUN
1966,Ireland,1.01241,0.940806,eu,IRL
1966,Italy,1.74434,1.56207,eu,ITA
1966,Netherlands,1.33897,1.46187,eu,NLD
1966,Norway,1.4278,1.13762,eu,NOR
1966,Poland,1.08374,1.19794,eu,POL
1966,Portugal,0.851548,0.731594,eu,PRT
1966,Romania,0.319795,0.543705,eu,ROU
1966,Sweden,2.02008,1.66632,eu,SWE
1966,Canada,0.769482,1.26984,na,CAN
1966,Costa Rica,0.544684,0.483599,na,CRI
1966,Dominican Republic,-0.666334,-0.809555,na,DOM
1966,Guatemala,0.121919,0.303228,na,GTM
1966,Honduras,-0.29557,-0.462301,na,HND
1966,Jamaica,-0.386714,-0.83524,na,JAM
1966,Mexico,0.220775,0.39683,na,MEX
1966,Nicaragua,-0.196804,-0.521521,na,NIC
1966,Panama,0.931072,0.709908,na,PAN
1966,El Salvador,0.336836,0.380317,na,SLV
1966,Trinidad and Tobago,-0.279269,-0.452556,na,TTO
1966,United States,1.73973,1.68233,na,USA
1966,Australia,0.245572,0.839079,oc,AUS
1966,New Zealand,0.291451,0.427371,oc,NZL
1966,Argentina,-0.186694,0.259695,sa,ARG
1966,Bolivia,-0.781309,-1.59819,sa,BOL
1966,Brazil,-0.867307,0.011304,sa,BRA
1966,Chile,0.124412,0.095336,sa,CHL
1966,Colombia,0.116634,0.240068,sa,COL
1966,Ecuador,-0.684339,-1.26722,sa,ECU
1966,Peru,-0.566836,-0.722407,sa,PER
1966,Paraguay,-0.706845,-0.898907,sa,PRY
1966,Uruguay,0.305691,0.442767,sa,URY
1966,Venezuela,-0.253681,-0.583109,sa,VEN
1967,Angola,-1.03878,-0.864605,af,AGO
1967,Cote d'Ivoire,-0.947142,-1.17268,af,CIV
1967,Cameroon,-0.972631,-0.871868,af,CMR
1967,Republic of the Congo,-0.85448,-0.937673,af,COG
1967,Algeria,-0.326832,-0.269716,af,DZA
1967,Egypt,-0.086774,0.208549,af,EGY
1967,Ethiopia,-0.853689,-0.903175,af,ETH
1967,Gabon,-1.45307,-2.09135,af,GAB
1967,Ghana,-0.953906,-1.38509,af,GHA
1967,Guinea,-1.0714,-1.62536,af,GIN
1967,Kenya,-0.785431,-0.461807,af,KEN
1967,Morocco,-0.34405,-0.32883,af,MAR
1967,Madagascar,-1.04663,-1.04163,af,MDG
1967,Mozambique,-0.960654,-0.751842,af,MOZ
1967,Mauritania,-1.15008,-1.40429,af,MRT
1967,Nigeria,-1.50863,-1.26454,af,NGA
1967,Sudan,-1.36767,-1.4433,af,SDN
1967,Senegal,-0.45705,-1.14229,af,SEN
1967,Togo,-0.982953,-1.7028,af,TGO
1967,Tunisia,-0.299681,-0.346023,af,TUN
1967,Tanzania,-1.29203,-1.27126,af,TZA
1967,South Africa,-0.283275,0.449834,af,ZAF
1967,Zambia,-0.743592,-0.50859,af,ZMB
1967,Zimbabwe,0.718401,0.696189,af,ZWE
1967,China,0.511791,0.628479,as,CHN
1967,Hong Kong,1.28684,1.16705,as,HKG
1967,Indonesia,-1.12068,-0.812304,as,IDN
1967,India,-0.103239,0.378816,as,IND
1967,Iran,-0.80783,-0.698988,as,IRN
1967,Israel,0.647967,0.70647,as,ISR
1967,Jordan,0.421167,0.155795,as,JOR
1967,Japan,1.85351,1.69705,as,JPN
1967,Cambodia,-0.950048,-0.97389,as,KHM
1967,South Korea,0.773875,0.592959,as,KOR
1967,Kuwait,-0.924902,-0.560381,as,KWT
1967,Lebanon,0.517729,0.529846,as,LBN
1967,Sri Lanka,-1.05778,-1.23693,as,LKA
1967,Burma,-0.980183,-1.23292,as,MMR
1967,Malaysia,-0.500469,-0.130921,as,MYS
1967,Oman,-0.546423,-0.127461,as,OMN
1967,Pakistan,-0.196449,0.074928,as,PAK
1967,Philippines,-0.590185,-0.645242,as,PHL
1967,Qatar,-1.56943,-0.823264,as,QAT
1967,Saudi Arabia,-0.847359,-1.13659,as,SAU
1967,Singapore,0.23718,0.373943,as,SGP
1967,Syria,-0.29768,-0.329304,as,SYR
1967,Thailand,-1.02722,-0.827152,as,THA
1967,Turkey,-0.835135,-0.582526,as,TUR
1967,Vietnam,-0.216628,0.260185,as,VNM
1967,Albania,0.210635,0.151233,eu,ALB
1967,Austria,2.0393,1.68331,eu,AUT
1967,Belgium,1.58365,1.55106,eu,BEL
1967,Bulgaria,0.585614,0.634682,eu,BGR
1967,Switzerland,2.12217,1.8089,eu,CHE
